name,tier,solution,seed,belt_speed_mps,start_y_m,start_yaw_deg,perception_latency_ms,position_noise_mm,yaw_noise_deg,replay_group,process_exit_code,metrics_found,simulator_passed,process_exit_code_consistent,passed,error,terminal_reason,perception_position_error_m,perception_yaw_error_rad,tracking_position_error_m,tracking_yaw_error_rad,track_speed_error_mps,intercept_position_error_m,intercept_yaw_error_rad,intercept_timing_error_s,delivery_position_error_m,delivery_angle_error_rad,delivery_timing_error_s,delivery_speed_error_mps,detection_confidence,grasp_confidence,lift_distance_m,maximum_retention_distance_m,joint_limit_violations,velocity_limit_violations,acceleration_limit_violations,bilateral_contact,mask_interior_grasp,delivered,video,overlay,trace,evidence_valid,evidence_issues,accuracy_gate_failures,functional_gate_failures,benchmark_passed
core_a_fast_transverse,core,a,4104,0.18,0.05,68,30,1,0.35,,0,True,True,True,True,,,0.007112126435430984,0.003719411976639053,0.007092624872739074,0.003719411976639053,0.0,0.007263467505553972,0.005659299781934246,0.009358590999999805,0.014565704094727733,0.00675703277309821,0.016666725000000326,6.495701940124654e-05,0.026992201805114746,0.8677424415607626,0.17718613147735596,0.07032449435124573,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_fast_transverse\scene2_solution_a_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_fast_transverse\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_fast_transverse\cycle_trace.jsonl,True,,,,True
core_a_high_speed_transverse,core,a,4105,0.22,-0.05,-72,30,1,0.35,,0,True,True,True,True,,,0.005292943987419592,0.002201384208163404,0.00529138809843288,0.002201384208163404,0.0,0.008152218790188683,0.004305116296265954,0.016112294000000027,0.01036429118066606,0.0031228509753548216,0.016666725000000326,3.6007372893608714e-05,0.21808481216430664,0.8657372395040402,0.17780518531799316,0.07206749420548804,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_high_speed_transverse\scene2_solution_a_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_high_speed_transverse\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_high_speed_transverse\cycle_trace.jsonl,True,,,,True
core_a_medium_oblique,core,a,4103,0.14,-0.03,32,30,1,0.35,,0,True,True,True,True,,,0.005065033753001364,0.0053847998329453195,0.005065779298895042,0.005384799832945375,0.0,0.0051239162062324305,0.005438347111569097,0.00536005300000042,0.011006750586219118,0.012615412127589131,0.025000057999999825,2.765241540142317e-06,0.21656641364097595,0.8708799058449974,0.17785757780075073,0.06953442293675408,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_medium_oblique\scene2_solution_a_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_medium_oblique\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_medium_oblique\cycle_trace.jsonl,True,,,,True
core_a_nominal,core,a,4102,0.1,0.04,0,30,1,0.35,a_nominal,0,True,True,True,True,,,0.004496377453649723,0.0034478621874911744,0.004507824185075435,0.003447862187491175,0.0,0.004380758213750513,0.005604262053885459,0.008343497000000255,0.010306352148926045,0.0028283504329281893,0.016666725000000326,2.3477237027323936e-06,0.18804943561553955,0.8704031097152407,0.17755138874053955,0.07014296318555781,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_nominal\scene2_solution_a_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_nominal\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_nominal\cycle_trace.jsonl,True,,,,True
core_a_nominal_replay,core,a,4102,0.1,0.04,0,30,1,0.35,a_nominal,0,True,True,True,True,,,0.004556169317693276,0.0034230870196192585,0.004567655954471407,0.003423087019619259,0.0,0.004379551606113899,0.0056864793846294415,0.00912879400000044,0.010268906151983318,0.0012720545069822623,0.016666725000000326,5.6145557407540615e-05,0.19538669288158417,0.8704014247863434,0.17757689952850342,0.07014392712309085,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_nominal_replay\scene2_solution_a_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_nominal_replay\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_nominal_replay\cycle_trace.jsonl,True,,,,True
core_a_slow_diagonal,core,a,4101,0.06,-0.06,-35,30,1,0.35,,0,True,True,True,True,,,0.003952057529924249,0.003493155222017264,0.003962085607241421,0.003493155222017264,0.0,0.003729803714789392,0.004607957719271361,0.007423385000000948,0.019686696852821983,0.005156082148838826,0.01666672500000388,5.42721144081027e-05,0.47037872672080994,0.8714647437925698,0.1780315637588501,0.07505399727300734,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_slow_diagonal\scene2_solution_a_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_slow_diagonal\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_a_slow_diagonal\cycle_trace.jsonl,True,,,,True
core_b_fast_oblique,core,b,4203,0.18,0.04,45,30,1,0.35,,0,True,True,True,True,,,0.006060977030518,0.00513369162170102,0.006078725659229914,0.00513369162170102,0.0,0.006674190184963433,0.007400691040149288,0.007227186999999802,0.020155174646536333,0.024032888387813194,0.01666672500000388,3.998062372136321e-06,0.07779163122177124,0.8689462236679537,0.1780325174331665,0.07647303099554226,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_fast_oblique\scene2_solution_b_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_fast_oblique\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_fast_oblique\cycle_trace.jsonl,True,,,,True
core_b_nominal,core,b,4202,0.1,0.03,0,30,1,0.35,b_nominal,0,True,True,True,True,,,0.003607654332246762,0.006800968074415954,0.00361197860581376,0.006800968074415955,0.0,0.004126085721187197,0.009823318989972648,0.007701298999999828,0.010739115133548444,0.004408229387304404,0.025000058000003378,9.699771393157563e-05,0.7903212904930115,0.8703110803220437,0.17811983823776245,0.07259162142941838,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_nominal\scene2_solution_b_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_nominal\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_nominal\cycle_trace.jsonl,True,,,,True
core_b_nominal_replay,core,b,4202,0.1,0.03,0,30,1,0.35,b_nominal,0,True,True,True,True,,,0.0036628460265103408,0.006916776991783577,0.003667156465029775,0.0069167769917835775,0.0,0.00437909410533717,0.009636302863659539,0.004268205999999886,0.010672513567152375,0.001851988188571606,0.02500005900000346,5.3219215443042915e-06,0.7876328229904175,0.8703063369812114,0.17756545543670654,0.07261767149870119,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_nominal_replay\scene2_solution_b_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_nominal_replay\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_nominal_replay\cycle_trace.jsonl,True,,,,True
core_b_slow_diagonal,core,b,4201,0.08,-0.04,-25,30,1,0.35,,0,True,True,True,True,,,0.0038573869762095563,0.0035592465538167306,0.0038464117490071073,0.0035592465538167306,0.0,0.0038657472211279277,0.0020346352709513793,0.01355549000000078,0.022361239887110196,0.009890643306384945,0.025000058999999908,5.8390188775657495e-06,0.8032734394073486,0.8716265649858135,0.1775139570236206,0.07872667996381938,0,0,0,True,True,True,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_slow_diagonal\scene2_solution_b_nominal.mp4,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_slow_diagonal\yolo26_segmentation.png,C:\Users\jainl\meat-conveyor-robot-simulation\results\accuracy_matrix\20260827_175301428\core_b_slow_diagonal\cycle_trace.jsonl,True,,,,True
