condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,32.413738800683866,success,0.0,0.0,0.0,0.0,success,success,success,1.9603544157047164,success,124.21458523776855,35.046670541472885,1.1985567626971814,1.0,1.0,0.704008365498449,116.09062737333896,5.008169812337759,-31.618590340171597,10.819903617306723,0.2163943243200947,9.632955105909085,0.1398173987952538,0.936591731170428,4.931999999999457,0,,nan,cut,10.899062147637363,15.3665396033984,-0.3526472988389758,-10.70539745310743,14.755872807058509,False,cut offset +10.9 / +15.4 mm,10.532348235021345
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,52.95237065926178,success,0.0,0.0,0.0,0.0,success,success,success,1.2298394809663002,success,96.90035162754253,23.720410959329545,0.7051653193073338,1.0,1.0,0.7060559598953413,85.47776838186272,5.128766237827431,-50.057701817541954,15.102542572963692,-2.6833401936730956,4.456076582006391,0.0038910484210609463,1.069566252749095,5.241999999999424,0,,nan,cut,4.522883324376337,4.52032900633087,3.7459249553993716,2.6606637576752355e-08,0.006109873331887016,True,,15.128408559015952
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,37.72611871834702,success,0.0,0.0,0.0,0.0,success,success,success,1.82595883255505,success,123.70211492467476,36.87390646880636,1.3169025350811567,1.0,1.0,0.7204114523898343,116.51895400040402,4.997688029025227,-37.625140184395214,15.319020208299548,-1.2510181214682112,4.049090825875706,0.08123275324500852,0.960222760788257,4.985999999999452,0,,nan,cut,4.008053872425532,4.0075630045159905,0.12089236119346274,1.695493906260189e-08,0.005814109956893116,True,,22.282869247952476
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,125.55885459648808,success,0.0,0.0,0.0,0.0,success,success,success,36.97917298266037,success,103.86046581300717,32.01489572849175,1.1368058871597966,1.0,1.0,0.6517601375541354,93.16438768192243,5.179985036797619,-123.60388030238177,66.41437145177882,6.156463770779433,6.304832530059507,-0.5928334405364483,1.3156001880092656,6.437999999999649,0,,nan,cut,9.952478010396003,9.418805795599338,7.764185846150331,-0.7366536174846431,0.39767652119855,False,cut angle +7.8 deg,24.565719761012588
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-83.09735045608836,success,0.0,0.0,0.0,0.0,success,success,success,2.941684028231506,success,112.19965983364152,29.46428182973559,0.9472488468116503,1.0,1.0,0.6961974809584234,117.15640033623744,4.874002645808839,81.28513389288828,18.231528115646384,2.5756036888512606,4.239035301964206,-0.18479667483819315,1.0656854277232595,5.363999999999409,0,,nan,cut,4.357454935912108,4.356550909252577,1.0030589246043295,1.7246977593453873e-08,0.005879495984634396,True,,23.3643224510015
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,94.51770812942895,success,0.0,0.0,0.0,0.0,success,success,success,5.515388322191469,success,125.94580308103792,34.830856191463866,1.1730730244179108,1.0,1.0,0.6886472510403051,113.0262283536258,4.98524683204149,-93.6915342614765,44.14037251321006,5.848102650688684,6.365066035161932,0.35981017623858297,1.182892145553308,5.90199999999947,0,,nan,cut,6.349665423004192,6.347976563038538,0.36248151909208026,2.3640159669788785e-08,0.006062681437627993,True,,21.18936958204722
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.4699134657593534,142.18553355838563,success,0.0,0.0,0.0,0.0,success,success,success,55.66250893752539,success,99.18586986139293,31.111748057181032,1.1105446112468687,1.0,1.0,0.6467552252327967,77.86308470095892,5.1081500134430025,-143.59545211024846,50.9441271300671,4.947478443344527,3.7871549542277396,-0.5490486207875891,1.4253988813131269,6.713999999999741,0,,nan,cut,3.7630748902071076,3.7620058485330343,-0.5282914597427052,8.334508687256652e-08,0.006164495797261637,True,,23.057386978005525
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-88.01835850143354,success,0.0,0.0,0.0,0.0,success,success,success,2.974894752625853,success,107.67407911200083,26.23050249206495,0.8093545383320412,1.0,1.0,0.6874318431020534,112.03795836513866,4.997430394702462,87.95872696159333,15.301647736206993,-1.6233094874602771,1.9988051469746748,-0.5647475019520306,1.1154800518021604,5.433999999999402,0,,nan,cut,3.7209816018086705,3.6999888460748642,3.1589956576511278,-0.06274611112846798,0.0105717353812506,True,,21.455045898037497
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-2.769757753198743,success,0.0,0.0,0.0,0.0,success,success,success,4.843888497408656,success,146.9748192322955,40.974099265011986,1.4176197712392182,1.0,1.0,0.7266803796667016,123.67538621253718,5.033841660450067,2.5518055236436794,9.673901343902523,-2.3645622856087383,4.050595956143238,-0.8395611211696357,0.9051812162484039,4.771999999999474,0,,nan,cut,4.006234163908662,4.005335598663951,-0.8334652416352507,8.733345155424686e-09,0.005902334811086542,True,,19.200916081026662
A-ur20-jaw_geh6180-tilt0-truth-any,A,truth,ur20,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.3981914824746696,-157.5844792429438,success,0.0,0.0,0.0,0.0,success,success,success,3.311793841263318,success,99.66732176817325,27.758622673114075,0.9101060454544789,1.0,1.0,0.658945260958973,89.31487474426122,5.004080329721106,156.86910281703055,65.17099789249673,-1.9819187243089824,3.6961263962718984,-0.9782757649905117,1.3911139796061112,6.387999999999632,0,,nan,cut,2.588997524672232,1.0387200670280983,7.854356711240965,-2.0161622165062894,0.7139537271190721,False,cut angle +7.9 deg,21.53939538099803
