condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,32.413738800683866,success,0.0,0.0,0.0,0.0,success,success,success,2.54085900612706,success,nan,nan,nan,1.0,0.0,0.6563242896081033,116.44551607475752,4.87806297855653,-32.67408684270991,2.933169669299429,-0.4029455713279016,-0.677293128716755,-0.4416674283799529,0.892305531886774,4.76799999999963,0,,nan,cut,-0.12949706036224917,-0.13001495058950763,-0.6159564050219747,9.928266827031804e-09,0.005835407551266784,True,,2.1294262949959375
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,52.95237065926178,success,0.0,0.0,0.0,0.0,success,success,success,1.951102005285848,unreachable,nan,nan,nan,1.0,1.0,0.6704897761475653,85.64658803229855,4.653178385849999,-50.725064137080736,6.939419397931618,-1.8605311547666423,nan,nan,nan,4.851999999999621,0,,nan,cut,4.335666709738783,3.537028408145515,5.6024593155681925,-1.0130024965108961,0.5258962883425907,False,orient: unreachable,2.380078718008008
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,37.72611871834702,success,0.0,0.0,0.0,0.0,success,success,success,2.299780457462267,success,nan,nan,nan,1.0,0.0,0.6718975974305724,116.51373852665486,5.3614060971487465,-37.89652390575618,2.769808206900291,-0.46753003239766483,0.4176213651156113,-0.3942590505020784,0.9165646755814381,4.851999999999621,0,,nan,cut,0.344874430544706,0.34434104506303465,-0.08288918944972463,1.1257993128258071e-08,0.005820278428418839,True,,5.244768324017059
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,125.55885459648808,success,0.0,0.0,0.0,0.0,success,success,success,1.2720492757414155,unreachable,nan,nan,nan,1.0,nan,0.6882310106493863,96.956707307909,4.868779222828357,-125.5246620671503,7.772207811421168,1.7810574539259119,nan,nan,nan,4.923999999999613,0,,nan,trotter_not_over_blade,nan,nan,nan,nan,nan,False,orient: unreachable,9.05341552599566
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-83.09735045608836,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,trotter_not_over_blade,nan,nan,nan,nan,nan,False,grasp: unreachable,7.7512078619911335
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,94.51770812942895,success,0.0,0.0,0.0,0.0,success,success,success,1.6399005041497634,unreachable,nan,nan,nan,1.0,0.0,0.6912092049787637,113.32987397984704,4.897653681300351,-94.36641138644686,3.5392119653964627,0.15094602545091662,nan,nan,nan,4.935999999999612,0,,nan,cut,5.794279297478666,5.792411765277672,1.7879264094582632,2.0382101231847366e-08,0.006050762717672287,False,orient: unreachable,7.454208607028704
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.4699134657593534,142.18553355838563,success,0.0,0.0,0.0,0.0,success,success,success,3.543616980458222,unreachable,nan,nan,nan,1.0,nan,0.6858244865886,91.02762166547848,5.001453476610962,-142.09617716395,15.573255645072212,3.162118059373371,nan,nan,nan,4.917999999999614,0,,nan,trotter_not_over_blade,nan,nan,nan,nan,nan,False,orient: unreachable,10.075248525012285
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-88.01835850143354,success,0.0,0.0,0.0,0.0,success,success,success,3.637184327841803,unreachable,nan,nan,nan,1.0,1.0,0.704619146776909,111.76656714496747,4.8113311232320655,87.93324653802934,5.7558791481507505,1.865165873616938,nan,nan,nan,4.921999999999613,0,,nan,trotter_not_over_blade,nan,nan,nan,nan,nan,False,orient: unreachable,10.319158318976406
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-2.769757753198743,success,0.0,0.0,0.0,0.0,success,unreachable,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,nan,cut,46.67840117441602,46.67736128878991,-2.765900888862739,1.0455424682156293e-08,0.005982775613582918,False,grasp: unreachable,8.327153163030744
B-sr20ia-jaw_geh6180-tilt0-truth-any,B,truth,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.3981914824746696,-157.5844792429438,success,0.0,0.0,0.0,0.0,success,success,success,11.840748159274947,unreachable,nan,nan,nan,1.0,nan,7.100129180252003,87.86117010984346,5.003110093386387,162.6861819281617,nan,nan,nan,nan,nan,4.909999999999615,47,g_finger_left_pad/belt_surface,0.9580000000000007,trotter_not_over_blade,nan,nan,nan,nan,nan,False,orient: unreachable,9.794933336961549
