condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,2.522215206104784,success,nan,nan,nan,1.0,0.0,0.7019335338042888,116.41128735736375,5.10195270946201,-6.463898163391136,4.62986502381008,0.8220507563861321,4.253345667974556,0.8944767720676489,0.701224450542084,4.099999999999704,0,,nan,cut,4.445901226701632,4.445536382175764,0.7553422174563439,3.20670520205451e-08,0.005809044156353444,True,,6.298047969990876
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,1.8269482955010103,success,nan,nan,nan,1.0,0.0,0.7155280132321582,85.69454363315012,4.661748998230353,-7.859239974333895,2.369338696451465,-0.5136207200886557,0.20069900581934363,-0.5101989013628234,0.7309685204139793,4.099999999999704,0,,nan,cut,-0.044890924441431945,-0.04761476468245762,3.350797583399626,1.073848132658782e-08,0.0061859133941697605,True,,5.85468284698436
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,2.5476422560939076,success,nan,nan,nan,1.0,0.0,0.7154073672359755,116.72526721058266,5.013514595026303,-7.598434005382646,1.331510219379567,-0.11920976021062767,0.26137624460861875,0.08927374108504957,0.6959568733873295,4.099999999999704,0,,nan,cut,0.22460655277706243,0.22411261753257916,0.10360781034666228,1.5788718716440302e-08,0.005814569424465192,True,,6.715363989991602
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,0.4918298393251648,unreachable,nan,nan,nan,1.0,1.0,0.7333922884748084,97.13016492653847,4.938969475296484,-24.54666363254182,3.6121361738803524,1.303844357598151,nan,nan,nan,4.107999999999703,0,,nan,cut,7.244565940672853,6.784120920984016,9.083801591375959,-0.6502049400664232,0.21883586295619575,False,orient: unreachable,6.622451777977403
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,3.0147802763066807,unreachable,nan,nan,nan,1.0,1.0,0.6613355919827176,117.39444480647876,4.207532409243653,14.739622962370346,24.001665859291247,6.411351905114498,nan,nan,nan,4.179999999999695,0,,nan,cut,3.7307049138683435,3.729793300062456,0.8642010009871324,1.6254708143930884e-08,0.005883663080665951,False,orient: unreachable,7.065570345032029
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,0.8202707553477462,success,nan,nan,nan,1.0,0.0,0.7304514306287795,113.4679790871553,4.932517714061335,-18.34809611207647,2.5282892491756255,-0.652137427877095,0.8196614323808527,-0.344839737501209,0.6974470525891598,4.1399999999996995,0,,nan,cut,1.0624054091453172,1.0606962760321692,0.561131370744175,2.2918428201471082e-08,0.006059172519677111,True,,6.424731170001905
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,2.3980905743160834,unreachable,nan,nan,nan,1.0,1.0,0.7370689681410876,91.05814600902573,4.773991224497509,-27.373846314327277,3.853732041617444,1.30720927443616,nan,nan,nan,4.115999999999702,0,,nan,cut,1.949943928499509,1.9480675049535767,1.5320995882502817,7.456623434075944e-08,0.006000529504579424,False,orient: unreachable,6.453591882018372
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,3.891636380629938,unreachable,nan,nan,nan,1.0,1.0,0.6639530545734464,112.03445797136321,5.017752012638876,16.91892092227423,14.893364273927924,-0.30430925646486323,nan,nan,nan,4.001999999999715,0,,nan,cut,3.870952475025724,3.8254287304519408,1.8718942692184763,-0.1345921255239178,0.04156325256404819,False,orient: unreachable,6.89164211996831
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,5.233063625312843,success,nan,nan,nan,1.0,0.0,0.6957634221631291,123.63634533572187,4.364230969591043,0.09156235336227161,0.9656277774969806,0.0014606871387856711,1.7234653814819645,0.0014304970429440717,0.717544542780046,4.099999999999704,0,,nan,cut,1.7031141831166385,1.7021884659876863,0.0019050110190693258,7.105677213857643e-09,0.00588564074655789,True,,6.805928495014086
B-sr20ia-jaw_geh6180-tilt0-truth-square,B,truth,sr20ia,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,3.8185638626576557,unreachable,nan,nan,nan,1.0,1.0,0.6495805180622911,89.33824083403404,4.824400735769618,30.263580309032395,3.268077508916301,1.1888822753060744,nan,nan,nan,4.083999999999706,0,,nan,cut,1.3953066072220355,0.214349197430852,8.309524901692125,-1.5260478403010067,0.6882787700132509,False,orient: unreachable,6.993137345998548
