condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,22.632208966998757,success,0.7568348957002833,121.00265396490924,4.981169618499259,-1.525408151809775,0.7157775237877825,0.08610177894891895,-0.04561182273257747,0.04967461878170239,0.6520587882780656,3.8499999999995764,0,,nan,cut,0.3382810340430975,0.3732825751315283,-0.02449137480759512,-0.30293094531959186,0.0796840308641397,True,,1.802425374975428
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,9.044534980685821,success,0.7702346636087031,86.88193401228472,4.985704789075451,-4.519365209033745,0.5128574925371652,0.14074792263590538,0.6714136637778478,0.18356522905143793,0.6761234554203106,3.8499999999995764,0,,nan,cut,0.7954922243824658,0.792323623676372,4.0713322112570385,-2.527420144293748e-08,0.006369394131303426,True,,2.7519243709975854
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,20.499779193705713,success,0.7742951551226442,120.75596259470372,4.980895260632057,-3.094493488199308,0.338181471592935,0.11323330923537353,0.10180260198180968,0.012274293882129184,0.6481189726473241,3.8499999999995764,0,,nan,cut,0.04037600152639875,0.03986866984001525,0.1053748681008052,1.4070303188701742e-08,0.005816161460173935,True,,2.7179865739890374
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,22.86784860847991,success,0.7719287640347333,100.87796836278261,4.984618158745957,-23.480167627812044,4.945322119943137,0.9421528633415465,4.658988417868798,1.2196911661588556,0.6300551032279395,3.8499999999995764,0,,nan,cut,10.0307050969215,9.190363443089655,9.35687960219222,-0.9503452665733,0.6216108574721688,False,cut offset +10.0 / +9.2 mm,3.796765183971729
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,25.161448644293735,misaligned,0.7373345205195379,123.04432151203021,4.9716049451365985,14.310065457942907,1.6437044422055904,-0.3540911276008864,12.398918043464906,-3.360095785070193,0.6028589443894236,3.8499999999995764,0,,nan,cut,12.672221340758238,12.6715216094343,-2.2852972043909525,2.4820578012048427e-08,0.005896591086616272,False,orient: misaligned,5.880222000996582
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,24.778756657179844,success,0.7782655152496186,117.63047806976344,4.981208202859744,-15.636745078181061,2.3335115016396166,-0.22820576826547684,1.8724445284836466,-0.13772843530687331,0.6402495615404422,3.8499999999995764,0,,nan,cut,1.8340998878896286,1.8325516413572607,-0.130506913452512,2.7239478902832513e-08,0.006044084258993522,True,,7.011156430002302
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,22.02093756844576,success,0.7730709724990023,94.86066918803557,4.984902667597546,-26.72969520671624,5.967725708303628,1.5039073911562293,4.783099309557865,1.5341495948767243,0.6421043747230064,3.8959999999995714,1,g_finger_left_pad_fore/belt_surface,1.071999999999882,cut,4.773329135989879,4.77144601021079,1.550792149435205,6.727217923422808e-08,0.006014280424834653,False,arm collision,6.718529926030897
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,23.959451924381273,success,0.7292595381481745,115.43442665429652,4.981101843500757,19.545569413545977,4.03557822902951,1.6694731708002652,-0.9309436946005334,1.7352136471881432,0.6628125146227055,3.8499999999995764,0,,nan,cut,-0.10361830349503443,-0.3301238877986279,2.7006315251213153,-0.7224125203154784,0.07455645911286442,True,,7.658284142031334
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,15.42178597764736,success,0.7607322236781144,126.02817012353509,4.981639032910379,8.56697375335555,0.7600327339890277,0.3092806880636649,-0.08801383789250328,0.3483793585658813,0.6762514111103471,3.8499999999995764,0,,nan,cut,-0.11543902700184017,-0.1139563748005501,0.3477661891987352,1.2508489267925337e-07,0.006060908933640355,True,,8.04320498497691
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,20.16808664165407,success,0.7313849932325521,92.80269152427839,4.956498986239732,32.87762081984598,2.3995624864739518,0.9187299602311176,0.5787287706500999,0.8483906549418361,0.6852761261392974,3.99799999999956,0,,nan,cut,-0.19207730072778872,nan,2.102282432578025,-59.3028336375124,86.95239533089881,True,,6.939622378966305
