condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,2.447223066549511,success,nan,nan,nan,1.0,0.7708673392488582,116.45353700468203,4.964613698056897,-6.420743037382275,0.8604457520520152,-0.09372290130604795,0.6241621928364249,-0.10227468069426306,0.7599796482715946,3.99999999999956,0,,nan,cut,1.7772986654073786,5.311257584037888,-0.5730546249127851,-9.295481968895274,14.943950511783903,True,,1.8122630919679068
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,0.0,0.0,0.0,0.0,success,success,success,2.5908900959152983,success,nan,nan,nan,1.0,0.7833200894201381,85.11004881988697,4.841783846769809,-6.8833694151917255,1.0289941367016586,-0.12540138711902507,0.609210489024431,-0.15221096493184572,0.7983091224470326,3.99999999999956,0,,nan,cut,0.5733867278224225,0.5704158718772834,3.589499649045923,-4.855091276816607e-09,0.0062527611379527255,True,,1.8858924079686403
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,2.5452493345443368,success,nan,nan,nan,1.0,0.7864396939562838,116.65072728358206,5.016088843665223,-7.582539613365824,3.4823669876816936,-0.7175328282509473,0.7368648145602841,-0.7991173526850632,0.7517270844333411,3.99999999999956,0,,nan,cut,0.6751536366720878,0.6746816833169689,-0.4726510656472611,1.7258974645712354e-08,0.005819329536827495,True,,2.8951768079423346
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,0.0,0.0,0.0,0.0,success,success,success,0.42197206742251747,success,nan,nan,nan,1.0,0.7863199199239981,97.00436949088925,4.982446051908673,-24.48882418361591,4.597212537522562,0.7095448585498318,4.222867737506325,1.0467907297829053,0.7494695011605748,4.009999999999559,0,,nan,cut,9.494734701811447,8.798697834795643,9.21908251537763,-0.8819566703750088,0.35309121416396144,False,cut angle +9.2 deg,4.061996144999284
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,2.2599809959348125,success,nan,nan,nan,1.0,0.7495988336514947,117.13887178032707,4.415618264655308,14.445365819912734,0.6296128293376329,0.10434631356339555,0.8548998085605997,0.2125665699323777,0.7590204068478885,3.99999999999956,0,,nan,cut,0.9009533416879378,0.9000866501763793,1.2637050252065345,1.904245160001493e-08,0.005868738822640905,True,,7.119445682968944
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,0.0,0.0,0.0,0.0,success,success,success,0.9567540147809652,success,nan,nan,nan,1.0,0.7909528363145631,113.40323714400031,5.00486236037323,-18.237720976376476,6.272103380923824,-1.420383781286796,3.3193260878926765,-1.2454121010904695,0.7521333666540848,3.99999999999956,0,,nan,cut,3.6863276408142243,3.684683061349947,0.9138358967890036,2.4965585861085714e-08,0.006029225364816827,True,,7.950475343968719
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,1.9218261976928996,success,nan,nan,nan,1.0,0.7877701916640133,90.99320501702199,4.974653930024275,-27.647282451995256,4.8560595652455625,0.9510798694870711,4.281424521357407,1.3052824686278155,0.7628263797939839,4.0619999999995535,0,,nan,cut,4.273499955888383,4.2716575536378425,1.3241059830946174,7.19236514003374e-08,0.006013189585958942,True,,8.584326646989211
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,0.0,0.0,0.0,0.0,success,success,success,10.721121359422392,slipped,nan,nan,nan,1.0,0.742922627601316,111.71464746985359,5.51364356619477,11.920438042456942,43.20300620872503,-11.748867782596236,15.814907292632546,-11.387339365809312,0.8454214398460675,3.99999999999956,0,,nan,cut,15.965496203886097,15.965340744381052,-11.378240351504427,1.3582444267221416e-07,0.0058609783603006515,False,orient: slipped,8.38012028700905
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,0.0,0.0,0.0,0.0,success,success,success,4.628207185208976,success,nan,nan,nan,1.0,0.7730991267515638,123.5086119147987,4.91326349587462,0.46802905709672127,2.2236274920667114,-0.465711990345401,0.7359257656450457,-0.5646890859054026,0.7790990610707766,3.99999999999956,0,,nan,cut,0.719121426135616,0.7182576135156826,-0.5657494186238392,1.014836121098908e-08,0.005891262804418812,True,,9.1481013239827
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,3.0724462381958517,success,nan,nan,nan,1.0,0.7424401289215613,89.22955336379079,4.989979653492682,30.73945990884398,1.7880594046220346,-0.21019812791284484,0.8678201343565728,-0.24065098822474887,0.8041916781707411,4.113999999999548,0,,nan,cut,0.5991039539609555,0.28247045621215827,8.497040251638737,-0.3351705192607312,0.187834999795138,False,cut angle +8.5 deg,8.125467844016384
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,0.0,0.0,0.0,0.0,success,success,success,2.196117141785258,success,nan,nan,nan,1.0,0.7644809534848046,94.81114396983226,4.935875642711807,23.951053694667582,8.680415659915063,2.6956332530971494,1.226944145958725,2.8125349294634283,0.7399054392507878,3.99999999999956,0,,nan,cut,12.211212662448235,12.20938353846357,13.755448724071528,7.970480158633678e-06,0.003579669755575206,False,cut offset +12.2 / +12.2 mm,9.24468258098932
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,0.0,0.0,0.0,0.0,success,success,success,4.352921648352517,success,nan,nan,nan,1.0,0.7702796793465295,90.23282291851035,4.984989963983777,1.8180784461189343,1.3865379085144682,-0.21458243835933877,0.3864195989664865,-0.278553281668293,0.7780727085710928,3.99999999999956,0,,nan,cut,0.38531319206785986,0.38350133991837954,-0.27868186636871495,6.121720462050127e-08,0.006040896289217002,True,,9.063684910011943
