condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,0,739.072601589707,12.662037231169066,0.5486925729809109,32.413738800683866,success,0.0,0.0,0.0,0.0,success,success,success,1.9603544157047164,success,nan,nan,nan,1.0,1.0,0.704008365498449,116.09062737333896,5.008169812337759,-31.618590340171597,10.017144596222213,1.689190668940965,1.2114969469253778,0.23047890249394817,0.9364842074347276,4.931999999999457,0,,nan,cut,2.6932734019836646,5.2892301515556355,-0.43386710449597077,-8.314964019523646,14.352369522808122,True,,9.432533145998605
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,1,670.5767402524795,9.877711684764781,0.4383430907123549,52.95237065926178,success,0.0,0.0,0.0,0.0,success,success,success,1.2298394809663002,success,nan,nan,nan,0.0,1.0,0.7060559598953413,85.47776838186272,5.128766237827431,-50.057701817541954,11.28495898991568,0.6749536247265745,1.6735887996464915,-0.23179626306291518,1.065186843963981,5.241999999999424,0,,nan,cut,1.6017121558510317,1.5983071501602941,3.7526075839895436,-4.845756984937448e-08,0.006544309036035545,True,,10.385540531016886
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,2,766.0335345701482,12.609797647775201,0.44922027922805596,37.72611871834702,success,0.0,0.0,0.0,0.0,success,success,success,1.82595883255505,success,nan,nan,nan,1.0,1.0,0.7204114523898343,116.51895400040402,4.997688029025227,-37.625140184395214,16.446057868768456,3.165003402932367,1.2626727566862617,-0.11191359854279706,0.9536790376929947,4.985999999999452,0,,nan,cut,1.1133773636512467,1.1128521568612992,0.13047035380525487,1.213847244183698e-08,0.00581611920672043,True,,10.335249938943889
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,3,688.0296481603631,10.587203446789722,0.4818817041034545,125.55885459648808,success,0.0,0.0,0.0,0.0,success,success,success,36.97917298266037,success,nan,nan,nan,1.0,1.0,0.6517601375541354,93.16438768192243,5.179985036797619,-123.60388030238177,50.87412102207955,5.6753858825667995,1.6528430824617468,-0.2792546453325701,1.3147566560420811,6.437999999999649,0,,nan,cut,5.542495549091808,5.413355848605805,7.9642998165124315,-0.1413259806560373,0.1051329965336249,False,cut angle +8.0 deg,10.407224063994363
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,4,704.0223489718616,11.437274193031755,0.5361667119720577,-83.09735045608836,success,0.0,0.0,0.0,0.0,success,success,success,2.941684028231506,success,nan,nan,nan,1.0,1.0,0.6961974809584234,117.15640033623744,4.874002645808839,81.28513389288828,15.421271158641012,0.1056170188839995,0.44185600960297555,0.3521996619864881,1.066810341173941,5.363999999999409,0,,nan,cut,0.6443839640453142,0.643485558429413,1.3064644862499197,1.7105748243378166e-08,0.005872423115165452,True,,10.513636419025715
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,5,738.3697215483043,12.838512036803047,0.41995379975583214,94.51770812942895,success,0.0,0.0,0.0,0.0,success,success,success,5.515388322191469,success,nan,nan,nan,0.0,1.0,0.6886472510403051,113.0262283536258,4.98524683204149,-93.6915342614765,35.2402314068438,4.798287253523707,0.625227040768922,-0.014975365533836259,1.1864840453375731,5.90199999999947,0,,nan,cut,0.6062716545424118,0.6046721125683718,-0.012645096556740051,2.5538759981341615e-08,0.0060534397619497835,True,,10.3696211319766
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,6,681.7651988534541,10.110690098001319,0.4699134657593534,142.18553355838563,success,0.0,0.0,0.0,0.0,success,success,success,55.66250893752539,success,nan,nan,nan,0.0,1.0,0.6467552252327967,77.86308470095892,5.1081500134430025,-143.59545211024846,48.56558942902276,4.970043851010381,0.6212816342751892,-0.15253205986043342,1.4208561551823786,6.713999999999741,0,,nan,cut,0.6158257971961567,0.6143109612948283,-0.1327237324970288,8.387061628369409e-08,0.005960587116875594,True,,12.652703035972081
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,7,716.6316527736255,10.975950979816595,0.5853960867243859,-88.01835850143354,success,0.0,0.0,0.0,0.0,success,success,success,2.974894752625853,success,nan,nan,nan,1.0,1.0,0.6874318431020534,112.03795836513866,4.997430394702462,87.95872696159333,17.92039414564243,-4.443318338235089,0.82503759130656,0.22836625448721068,1.1221469881108344,5.433999999999402,0,,nan,cut,3.5291060292916288,3.509987756978472,4.211609635148629,-0.04630535156158589,0.00852691613860045,True,,9.496468573983293
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,8,772.7633863764064,14.982142633261514,0.48887983299172755,-2.769757753198743,success,0.0,0.0,0.0,0.0,success,success,success,4.843888497408656,success,nan,nan,nan,1.0,1.0,0.7266803796667016,123.67538621253718,5.033841660450067,2.5518055236436794,6.9232064256145565,-1.6158140229087476,1.0097230558895054,-0.438655270200713,0.9048869833992879,4.771999999999474,0,,nan,cut,0.9880922824694327,0.9896140006861454,-0.436392124412264,1.266645215229116e-07,0.006037720067033516,True,,11.289410024008248
B-ur20-jaw_geh6180-tilt0-truth-any,B,truth,ur20,jaw_geh6180,0.0,9,701.9755038785561,10.159767764339778,0.3981914824746696,-157.5844792429438,success,0.0,0.0,0.0,0.0,success,success,success,3.311793841263318,success,nan,nan,nan,1.0,1.0,0.658945260958973,89.31487474426122,5.004080329721106,156.86910281703055,56.30489839833977,-4.945600211946557,0.6600813253070104,0.318019307148198,1.4101661617411723,6.387999999999632,0,,nan,cut,1.514756076390289,-0.2801182863523821,8.855228458954647,-2.0966290485290564,0.8145057379490254,False,cut angle +8.9 deg,10.866752811998595
