product,condition,approach,pose_source,arm,gripper,tilt_deg,piece,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_datum_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,flange_load_n,moment_about_tool_nm,inertia_about_tool_kgm2,airborne,corrections,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,datum_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,judge,entry_offset_mm,exit_offset_mm,angle_deg,drift_deg,judge_slip_mm,success,failure,wall_s
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,0,723.4439504842401,12.777374101588382,0.5486925729809109,6.302671433466314,success,0.0,0.0,0.0,0.0,success,success,success,0.3281203537549186,success,nan,nan,nan,1.0,0.0,0.6643782056089229,197.87385513967075,4.759644742478031,-6.362965028288317,4.622036918020073,-0.36264771571104615,-0.5658740808950347,-0.6141184902943724,1.0276662836085848,4.099999999999704,0,,nan,crossed,-0.564840879916928,-0.5648407625310492,-0.6141184902943724,-2.199582562169087e-08,2.1049108581528845e-07,True,,0.798912547994405
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,1,783.5249733627564,13.578132438509176,0.4383430907123549,10.296294294856455,success,0.0,0.0,0.0,0.0,success,success,success,0.10092401580394629,success,nan,nan,nan,1.0,0.0,0.6584454667431063,195.4694829026477,4.8025067587181836,-10.305702643957448,3.163825396046669,-0.5165750960302024,0.9866636455876376,-0.9585364415383664,1.104107874078313,4.099999999999704,0,,nan,crossed,0.9834224629500232,0.9834235203732833,-0.9585364415383664,-1.9573431090373867e-08,1.2951976227961216e-06,True,,0.7383416959783062
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,2,640.0,9.8,0.44922027922805596,7.335634195234141,success,0.0,0.0,0.0,0.0,success,success,success,0.18849995136969086,success,nan,nan,nan,1.0,1.0,0.6564121067238667,166.2752768141548,4.903157030355598,-7.333614494611766,4.248703054402124,-0.41095718751819416,-0.018870552857874756,0.21380498547900648,1.1038658376754626,4.49999999999966,0,,nan,crossed,-0.017791683879830877,-0.017791586141235882,0.21380498547900648,-1.172914777655135e-08,8.287859817444225e-08,True,,0.914974135986995
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,3,748.9753818882774,12.75027083899565,0.4818817041034545,24.414221727094883,success,0.0,0.0,0.0,0.0,success,success,success,0.2766302419879783,success,nan,nan,nan,1.0,1.0,0.6592561101962543,212.9472865598031,4.8453316621960285,-24.388769671780835,4.161971798795048,-1.1270208880397503,0.09828048984272808,0.38059054389278263,1.1895542355506206,4.605999999999648,0,,nan,crossed,0.09930954121351032,0.09930964491755567,0.38059054389278263,-2.279854673441736e-08,1.1953985268960024e-07,True,,0.8483803269919008
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,4,757.2669548392028,13.057588102387857,0.5361667119720577,-16.157818144239414,success,0.0,0.0,0.0,0.0,success,success,success,0.27686910222127914,success,nan,nan,nan,1.0,0.0,0.6620481129927638,195.22584906561255,4.861805914970985,16.12613040237424,3.973249911910681,0.27154055417172207,-0.4517568854367493,-0.11939164277656646,1.0439459771503956,4.111999999999703,0,,nan,crossed,-0.4447260394025987,-0.44472756719882156,-0.11939164277656646,-1.8810782541460874e-07,9.430755901825505e-07,True,,0.7802276249858551
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,5,677.10516575999,10.958364765619342,0.41995379975583214,18.378443247388958,success,0.0,0.0,0.0,0.0,success,success,success,0.2098267581798624,success,nan,nan,nan,1.0,0.0,0.6581917880366162,190.94220027026319,4.836534122264591,-18.37358123505959,3.019936485704359,-0.47956954071735297,0.9827907715057593,-0.7353968874445436,1.0570171406553588,4.1399999999996995,0,,nan,crossed,0.9798548477718549,0.9798558171829619,-0.7353968874445436,-1.8376142191552737e-08,1.176068718285038e-06,True,,0.8512285350007005
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,6,692.2914920189532,11.874701973257741,0.48783221735211885,27.647187080797202,success,0.0,0.0,0.0,0.0,success,success,success,0.30570490610387,success,nan,nan,nan,1.0,0.0,0.6623748268185833,203.754408617119,4.778332649921335,-27.617953299658833,2.8965596771243067,-0.09431619400809867,0.5500675880457662,-0.25309612009642074,1.0963248815604993,4.237999999999689,0,,nan,crossed,0.5512931727431614,0.5419551593094374,-0.25309612009642074,-0.0033939018204425997,0.008606178433570002,True,,0.7976474179886281
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,7,783.2107537596972,14.114572094892534,0.5853960867243859,-17.114680819723198,success,0.0,0.0,0.0,0.0,success,success,success,0.6380791325674678,success,nan,nan,nan,1.0,0.0,0.6676991285923527,205.3168460707226,4.822462171869657,17.150715990870037,3.422439802481178,0.08968244866029906,-0.6835832556769672,-0.1964772268228867,1.0602025357205214,4.123999999999701,0,,nan,crossed,-0.6824343533542443,-0.6824342291632535,-0.1964772268228867,-2.8375458535082748e-08,5.026897605070308e-07,True,,0.8339593689888716
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,8,800.0,14.730733792662134,0.48887983299172755,-0.5385640075664194,success,0.0,0.0,0.0,0.0,success,success,success,0.23622128550016513,success,nan,nan,nan,1.0,1.0,0.6608284409161296,200.9787671661275,4.782800159900069,0.5493774825843545,4.5626609766320545,0.22103221836380973,0.3810943337417827,-0.38555656741438243,1.2353948507731853,4.49999999999966,0,,nan,crossed,0.38214788699852953,0.3821480268652033,-0.38555656741438243,-3.6779399655384457e-08,1.6457827606533544e-07,True,,0.8390005530091003
loin,B-sr20ia-wide_jaw-tilt0-truth-square,B,truth,sr20ia,wide_jaw,0.0,9,673.2070061722019,10.904480017724174,0.5231654154686722,-30.641426519461287,success,0.0,0.0,0.0,0.0,success,success,success,0.9038805753552851,success,nan,nan,nan,1.0,0.0,0.662567253858385,189.77665769421847,4.73198883638537,30.685036577931132,2.7661434079653087,0.1614152389527717,-0.3592596603866349,-0.019424972657388396,1.0948668282298208,4.267999999999685,0,,nan,crossed,-0.36191158208087604,-0.36191075172720133,-0.019424972657388392,2.599281946503509e-09,1.0829042223588134e-06,True,,0.8284219549968839
