epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21158,1.57434,3.05754,9.63502,0.00486,8.54039,7e-05,0.02083,5e-05,2e-05,0.00174,0.52083,0.00604,0.00295,0.8765,2.10839,10.1847,0.00349,0,0.000638889,0.000638889,0.000638889
2,13.7826,1.11307,1.84317,7.91172,0.00328,5.67818,0.00014,0.04167,2e-05,0,0.00042,0.125,7e-05,4e-05,1.05908,1.97897,10.4028,0.00427,0,0.00126247,0.00126247,0.00126247
3,19.2389,1.37077,1.92252,6.91539,0.00411,4.07055,0.00236,0.70833,0.47838,0.35687,0.00243,0.72917,0.44668,0.33297,1.0512,1.83603,9.41459,0.00427,0,0.00184206,0.00184206,0.00184206
4,24.7978,1.33851,1.78923,5.8706,0.00379,3.26814,0.71675,0.5273,0.67352,0.53038,0.7442,0.54167,0.69402,0.48624,1.14033,2.35973,7.65625,0.00466,0,0.001802,0.001802,0.001802
5,30.2548,1.23169,1.49787,5.42078,0.00374,2.37205,0.7414,0.71684,0.77369,0.48538,0.7414,0.71684,0.76552,0.59149,1.50294,1.83967,6.82829,0.00641,0,0.001736,0.001736,0.001736
6,35.8009,1.22191,1.34005,4.72311,0.00369,1.61006,0.8604,0.64209,0.78141,0.54467,0.8604,0.64209,0.78131,0.56721,1.29799,1.70142,5.87891,0.00543,0,0.00167,0.00167,0.00167
7,41.2922,1.26461,1.46413,4.51915,0.00369,1.28777,0.74338,0.6875,0.75751,0.52214,0.74338,0.6875,0.74939,0.50741,1.28694,1.56823,5.09767,0.0052,0,0.001604,0.001604,0.001604
8,46.7519,1.33101,1.49233,4.09435,0.00376,0.94747,0.84172,0.77561,0.83439,0.60607,0.84172,0.77561,0.83276,0.62096,1.09026,1.75776,4.4096,0.00419,0,0.001538,0.001538,0.001538
9,52.2645,1.32986,1.30468,3.45958,0.0038,0.7608,0.87743,0.6875,0.82438,0.5988,0.87743,0.6875,0.82463,0.59983,1.16277,1.53637,4.01926,0.00468,0,0.001472,0.001472,0.001472
10,57.7435,1.26687,1.25107,3.58617,0.0036,0.54346,0.89546,0.875,0.8818,0.60886,0.89546,0.875,0.8818,0.66682,1.22687,1.34209,3.64065,0.00494,0,0.001406,0.001406,0.001406
11,63.2323,1.44398,1.30879,3.30184,0.00411,0.51563,0.83158,0.70833,0.81353,0.57079,0.83158,0.70833,0.81889,0.60902,1.25844,1.25804,3.57724,0.00494,0,0.00134,0.00134,0.00134
12,68.7004,1.20907,1.0751,2.82364,0.00329,0.51032,0.82529,0.78737,0.87328,0.53562,0.82529,0.78737,0.86285,0.65371,1.31955,1.27274,3.55725,0.00557,0,0.001274,0.001274,0.001274
13,74.2039,1.13147,1.089,2.49909,0.00319,0.38407,0.87683,0.79167,0.87397,0.64201,0.77786,0.85417,0.85033,0.61744,1.04545,1.3185,3.26968,0.00403,0,0.001208,0.001208,0.001208
14,79.6491,1.08421,1.09232,2.7034,0.00339,0.40261,0.80702,0.87126,0.87313,0.63258,0.82612,0.89091,0.89901,0.6395,1.03987,1.28717,2.92922,0.00416,0,0.001142,0.001142,0.001142
15,85.1594,1.01222,1.08792,2.36771,0.00289,0.35073,0.93211,0.8582,0.91266,0.70952,0.93369,0.88017,0.92353,0.66938,0.87624,1.27344,2.57021,0.00346,0,0.001076,0.001076,0.001076
16,90.7418,0.96781,1.0885,2.01657,0.00267,0.29614,0.97386,0.77632,0.90451,0.70368,0.90847,0.8125,0.91781,0.66908,0.89501,1.19033,2.49663,0.00352,0,0.00101,0.00101,0.00101
17,96.3,1.0516,1.10916,2.03931,0.00298,0.35826,0.94769,0.83333,0.91492,0.71107,0.94769,0.83333,0.91635,0.70387,0.97453,1.17557,2.28997,0.00393,0,0.000944,0.000944,0.000944
18,101.831,0.93899,0.99675,1.89257,0.00259,0.27115,0.90606,0.79167,0.87924,0.70098,0.93553,0.8125,0.89913,0.65841,0.90989,1.16814,2.18467,0.00362,0,0.000878,0.000878,0.000878
