epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5324,1.04486,0.94229,1.76649,0.00689,0.75588,0.97073,0.59375,0.7698,0.55654,0.86553,0.80463,0.87018,0.56813,1.1031,1.01379,2.18114,0.01038,0,0.000645833,0.000645833,0.000645833
2,17.6558,1.00571,0.86429,1.47963,0.00545,0.29152,0.90468,0.60938,0.77458,0.6151,0.92788,0.625,0.80878,0.59912,0.82191,0.96574,1.9548,0.00541,0,0.00120422,0.00120422,0.00120422
3,24.6659,1.0626,0.72887,1.37815,0.00549,0.28367,0.75386,0.67001,0.8071,0.56804,0.77111,0.68434,0.82522,0.61231,0.99853,0.98612,1.84986,0.00555,0,0.0016526,0.0016526,0.0016526
4,31.7092,1.26331,0.7873,1.40236,0.00608,0.27377,0.8627,0.70312,0.79683,0.48323,0.8627,0.70312,0.79269,0.55919,1.50649,1.03662,1.89357,0.00934,0,0.001505,0.001505,0.001505
5,38.6904,1.21327,0.8093,1.33882,0.00618,0.28509,0.7874,0.71875,0.78971,0.59465,0.7874,0.71875,0.77907,0.61991,0.98019,1.02877,1.52104,0.00678,0,0.00134,0.00134,0.00134
6,45.6742,1.07221,0.69352,1.27168,0.00581,0.22143,0.87734,0.70312,0.84527,0.6125,0.87734,0.70312,0.85133,0.6613,1.09039,1.01725,1.35266,0.00777,0,0.001175,0.001175,0.001175
7,52.7118,0.99317,0.829,1.07366,0.00509,0.23655,0.87302,0.76562,0.88272,0.66813,0.87859,0.78125,0.88994,0.69661,1.05122,1.02073,1.10969,0.00728,0,0.00101,0.00101,0.00101
8,59.319,0.92591,0.75026,1.11421,0.00631,0.29856,0.874,0.8125,0.89338,0.69927,0.874,0.8125,0.88726,0.67188,0.96921,1.00891,0.98528,0.00666,0,0.000845,0.000845,0.000845
9,65.9582,0.90693,0.72915,0.99264,0.00573,0.27551,0.88015,0.80329,0.89354,0.6968,0.89687,0.81536,0.8902,0.71417,0.91797,0.99788,0.97614,0.005,0,0.00068,0.00068,0.00068
10,72.4593,0.85085,0.71267,0.92297,0.00602,0.27687,0.94402,0.79052,0.89716,0.70786,0.96266,0.80566,0.91756,0.75098,0.93682,0.96261,0.91592,0.00825,0,0.000515,0.000515,0.000515
11,78.9754,0.81125,0.69926,0.84657,0.00635,0.24416,0.84685,0.85938,0.89702,0.72189,0.86328,0.875,0.91719,0.73098,0.80366,0.94594,0.9169,0.00554,0,0.00035,0.00035,0.00035
12,85.4211,0.77549,0.67504,0.84617,0.00472,0.23518,0.81308,0.81567,0.88124,0.72994,0.84405,0.84568,0.91678,0.70068,0.75034,0.95787,0.89123,0.00422,0,0.000185,0.000185,0.000185
